danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity
0.567,0.388,9,-9.579,0,0.0384,0.782,0.000309,0.248,0.452,116.362,249191,79
0.811,0.445,9,-9.28,1,0.0956,0.0164,0.0101,0.0818,0.184,171.964,158440,28
0.901,0.656,4,-7.452,0,0.277,0.0807,0,0.181,0.599,119.956,224933,66
0.532,0.646,8,-5.137,1,0.057,0.0495,0,0.108,0.44,180.075,196167,54
0.588,0.856,0,-5.288,0,0.0648,0.00128,2.78E-06,0.109,0.359,150.008,163260,67
0.715,0.481,1,-9.186,0,0.0548,0.216,1.47E-06,0.107,0.264,92.004,140870,61
0.685,0.473,4,-8.712,0,0.128,0.283,0.000238,0.289,0.236,130.976,323657,13
0.713,0.522,1,-9.039,0,0.0353,0.218,0,0.202,0.599,109.955,153496,55
0.479,0.844,1,-4.338,0,0.0819,0.0134,3.91E-06,0.195,0.49,159.852,218533,59
0.585,0.855,2,-5.933,1,0.0551,0.137,0.00723,0.166,0.641,164.037,134634,55
0.533,0.858,2,-4.212,1,0.0766,0.00021,0,0.148,0.506,160.057,205159,74
0.763,0.539,11,-7.821,1,0.0429,0.432,6.44E-05,0.15,0.507,92.033,176445,34
0.623,0.581,4,-8.358,1,0.0808,0.0849,0,0.195,0.526,169.854,160360,44
0.831,0.523,7,-9.226,1,0.354,0.0152,1.72E-05,0.104,0.354,146.984,143700,0
0.539,0.889,5,-2.416,1,0.0531,0.0246,0,0.233,0.614,169.979,198480,37
0.601,0.741,2,-5.569,1,0.0478,0.185,2.91E-05,0.415,0.441,153.96,153190,90
0.828,0.521,10,-5.583,1,0.137,0.858,0,0.13,0.369,106.009,200475,65
0.394,0.771,3,-6.873,1,0.29,0.00193,0,0.114,0.548,145.947,249401,55
0.701,0.547,2,-8.238,1,0.0483,0.00843,0,0.0987,0.4,140.015,206108,35
0.639,0.681,10,-5.848,1,0.0411,0.522,0,0.127,0.0901,120.01,112000,32
0.741,0.616,2,-6.686,1,0.034,0.052,5.86E-05,0.0705,0.486,147.008,124188,44
0.646,0.31,1,-11.728,1,0.0399,0.885,0.0769,0.121,0.202,76.987,184638,58
0.655,0.793,2,-8.242,0,0.0825,0.347,1.05E-05,0.104,0.679,155.978,195385,41
